,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueEliteMonsters,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,redWardsPlaced,redWardsDestroyed,redFirstBlood,redEliteMonsters,redHeralds,redTowersDestroyed,redAvgLevel,redTotalMinionsKilled,redTotalJungleMinionsKilled
27,0,19,3,1,7,4,0,0,0,7.0,228,61,14,4,0,1,0,0,6.6,202,49
28,0,105,5,1,8,6,1,0,0,6.8,217,53,65,3,0,0,0,0,6.8,223,40
29,0,18,5,0,3,8,1,0,0,6.8,233,52,18,3,1,0,0,0,7.4,225,52
30,1,22,7,1,9,4,1,0,0,7.0,228,40,21,4,0,0,0,0,6.2,227,36
31,1,17,4,1,5,2,2,1,0,6.8,218,51,15,2,0,0,0,0,6.4,206,48
32,0,12,3,0,6,4,0,0,0,6.8,203,32,19,2,1,1,0,0,6.8,206,44
33,0,15,2,1,5,4,0,0,0,6.8,201,45,14,1,0,1,0,0,6.8,222,38
34,1,40,2,0,6,4,0,0,0,7.4,204,56,15,1,1,1,0,0,7.2,223,62
35,0,24,3,0,3,4,0,0,0,6.8,235,52,17,2,1,2,1,0,6.8,218,50
36,0,12,4,0,2,8,1,0,0,7.2,217,84,14,2,1,0,0,0,7.4,234,64
37,0,20,2,1,5,6,1,1,0,6.8,203,48,40,4,0,1,0,0,7.0,214,67
38,0,11,3,0,7,9,1,1,0,7.2,234,68,18,1,1,1,0,0,7.0,227,40
39,0,18,2,0,3,6,1,1,0,6.6,213,48,36,3,1,1,0,0,7.0,236,44
40,0,28,3,0,4,11,0,0,0,6.8,222,48,41,0,1,1,0,0,7.2,213,39
41,1,36,1,0,10,6,0,0,0,7.4,231,44,16,2,1,0,0,0,7.0,185,39
42,1,18,3,0,9,6,1,0,0,6.8,204,36,17,2,1,0,0,0,6.8,194,54
43,1,12,2,1,5,5,0,0,0,6.6,233,16,19,1,0,0,0,0,7.0,221,44
44,0,18,4,1,3,4,1,1,0,7.4,252,60,39,4,0,1,0,0,7.0,243,49
45,0,41,0,0,1,10,0,0,0,6.4,187,32,12,1,1,1,1,1,7.2,247,56
46,1,14,4,1,11,2,0,0,0,7.6,251,48,15,3,0,0,0,0,6.4,196,53
47,1,19,1,1,8,4,1,0,1,7.0,218,54,13,5,0,0,0,0,6.8,200,57
48,1,15,2,0,2,3,1,1,0,6.6,180,44,12,4,1,0,0,0,6.8,218,56
49,0,16,1,0,5,5,0,0,0,6.8,206,56,38,6,1,0,0,0,7.2,241,44
50,0,14,0,0,7,9,0,0,0,6.6,209,50,22,4,1,1,0,0,6.8,206,53
51,1,18,0,0,6,8,0,0,0,7.0,213,49,12,1,1,0,0,0,7.0,182,44
52,1,22,4,1,5,2,2,1,0,7.0,217,53,16,3,0,0,0,0,7.0,212,60
53,1,37,2,1,5,3,0,0,0,7.4,248,54,15,1,0,1,0,0,7.0,210,68
54,0,14,4,0,3,3,1,0,0,7.0,246,56,20,2,1,0,0,0,7.2,227,64
55,0,16,2,0,4,10,1,1,0,7.0,224,53,30,2,1,1,0,0,7.4,201,54
56,0,17,0,1,5,7,1,0,0,6.8,181,63,14,0,0,0,0,0,7.4,218,76
57,1,19,3,1,10,6,1,0,0,7.2,213,42,18,4,0,0,0,0,6.8,234,44
58,1,29,3,1,7,5,2,1,0,7.0,222,55,14,4,0,0,0,0,6.8,247,44
59,0,12,0,0,10,7,0,0,1,7.2,236,58,20,1,1,1,0,0,6.6,182,45
60,0,18,4,0,2,7,0,0,0,6.6,191,62,18,3,1,1,0,0,6.8,218,48
61,0,24,3,0,6,7,0,0,0,7.0,208,70,17,2,1,1,0,0,6.8,207,45
62,1,18,2,1,6,4,1,0,0,7.2,229,54,36,3,0,1,1,0,7.2,232,56
63,1,122,3,1,9,1,2,1,0,7.2,229,68,14,3,0,0,0,0,6.4,233,40
64,0,12,4,0,4,10,1,0,0,6.6,203,41,16,2,1,0,0,0,7.4,224,72
65,0,52,2,0,6,12,0,0,0,6.6,188,42,15,1,1,1,1,1,7.4,240,62
66,0,19,2,0,4,5,0,0,0,7.0,210,52,11,4,1,0,0,0,7.2,227,62
67,0,32,4,1,7,8,1,0,0,6.8,212,46,24,5,0,1,1,0,7.0,200,42
68,1,14,0,0,3,5,0,0,0,7.0,233,57,11,1,1,1,0,0,6.8,234,44
69,0,19,5,1,4,5,0,0,0,6.8,198,53,18,4,0,1,0,0,7.0,241,44
70,0,16,2,1,9,8,1,1,0,7.0,202,62,13,5,0,1,0,1,7.0,199,45
71,1,36,0,1,5,4,0,0,0,6.8,200,32,12,1,0,1,0,0,6.6,186,63
72,0,18,2,1,8,2,0,0,0,7.0,232,44,13,3,0,1,0,0,6.6,208,51
73,0,13,3,1,2,7,1,0,0,6.6,204,38,12,0,0,0,0,0,6.8,192,36
74,1,15,3,1,6,4,1,0,0,7.2,242,52,15,2,0,1,1,0,7.0,205,50
75,1,50,4,1,6,4,2,1,0,6.8,200,52,48,2,0,0,0,0,6.6,169,52
76,0,14,2,0,4,6,0,0,0,7.0,221,52,15,2,1,2,1,0,7.2,226,66
77,1,17,2,1,8,4,1,1,0,6.6,212,40,13,4,0,0,0,0,6.4,180,61
78,1,18,1,0,13,9,1,0,0,7.4,232,44,12,4,1,0,0,0,7.0,216,63
79,0,17,5,0,7,6,0,0,0,7.2,242,46,52,4,1,2,1,0,6.8,198,60
80,0,43,6,1,11,4,1,1,0,7.4,256,43,16,0,0,1,0,0,7.2,210,72
81,0,12,1,0,6,6,1,0,0,6.6,204,56,13,1,1,1,1,0,7.0,241,56
82,0,20,2,0,7,8,1,1,0,7.0,199,51,42,7,1,1,0,0,6.8,178,47
83,1,18,3,0,9,8,1,0,0,7.0,235,41,16,0,1,0,0,0,7.0,207,44
84,1,16,0,0,10,10,1,0,0,7.0,208,55,15,1,1,0,0,0,7.0,210,44
85,1,14,2,0,7,2,2,1,0,7.2,261,68,25,0,1,0,0,0,6.8,220,56
86,0,12,6,0,1,6,0,0,0,6.8,241,56,53,1,1,1,0,0,7.0,218,47
87,1,16,4,0,5,8,1,0,0,6.6,201,48,19,2,1,0,0,0,7.2,248,40
88,1,15,0,0,10,4,0,0,0,7.4,232,64,12,1,1,0,0,0,6.6,247,41
89,0,13,3,0,3,10,1,0,0,6.6,210,53,20,3,1,1,1,0,7.4,200,67
90,0,83,13,1,7,11,0,0,0,6.4,194,25,35,2,0,1,0,0,7.2,216,59
91,0,17,4,1,3,5,0,0,0,7.2,236,73,33,4,0,2,1,0,6.8,233,46
92,1,16,3,1,9,2,0,0,0,7.2,223,51,14,2,0,1,0,0,6.6,213,41
93,1,14,4,1,7,7,0,0,1,7.2,257,62,19,3,0,1,0,0,6.6,145,36
94,0,14,2,0,7,7,1,0,0,7.2,209,48,16,4,1,0,0,0,7.4,255,60
95,0,17,1,0,5,10,0,0,0,7.0,213,59,16,2,1,1,0,0,7.0,214,44
96,1,16,6,1,5,4,0,0,0,6.8,247,37,17,2,0,1,0,0,7.0,203,51
97,1,40,1,0,6,8,1,1,0,7.2,250,70,12,1,1,1,0,0,7.0,186,48
98,1,16,0,0,11,6,2,1,0,7.4,242,52,14,2,1,0,0,0,7.0,203,52
99,0,16,1,0,5,8,1,1,0,6.8,227,28,11,3,1,0,0,0,7.0,186,39
100,0,16,4,1,6,8,1,0,0,6.6,224,53,20,2,0,0,0,0,7.0,210,36
101,0,14,3,0,4,6,0,0,0,6.6,209,43,17,3,1,1,0,0,7.0,231,44
102,0,13,5,0,6,7,0,0,0,6.6,199,52,17,4,1,2,1,0,7.0,212,40
103,0,18,4,0,8,3,1,1,0,7.2,252,44,15,4,1,1,0,0,6.6,225,47
104,0,24,0,0,8,11,0,0,0,7.0,222,44,13,3,1,2,1,0,7.0,215,55
105,0,12,5,0,6,4,1,0,0,7.0,248,44,16,5,1,1,1,0,6.8,207,52
106,1,17,3,0,6,14,0,0,0,6.6,200,46,16,3,1,1,0,0,7.6,227,66
107,0,19,3,0,3,5,0,0,0,7.2,233,59,16,4,1,1,0,0,7.0,216,48
108,1,12,3,1,9,5,0,0,0,7.0,221,36,14,2,0,2,1,0,6.8,208,44
109,1,14,3,0,6,4,1,0,0,7.4,211,60,14,0,1,0,0,0,7.0,204,71
110,1,19,2,1,2,7,1,0,0,7.0,231,64,17,5,0,1,1,0,6.8,211,64
111,0,16,2,0,5,10,2,1,0,6.8,232,44,15,2,1,0,0,0,7.4,236,76
112,1,18,1,0,12,9,0,0,0,6.4,143,48,12,3,1,0,0,0,6.2,181,40
113,0,17,1,1,9,17,0,0,0,6.2,187,29,31,1,0,0,0,0,7.0,211,40
114,1,32,2,1,12,6,1,0,0,7.2,202,47,16,2,0,0,0,0,6.6,210,39
115,0,16,2,1,7,9,2,1,0,7.0,228,48,34,2,0,0,0,0,7.4,230,52
116,1,19,5,1,7,10,0,0,0,6.8,227,44,17,7,0,0,0,0,7.2,231,45
117,1,14,1,1,6,4,1,0,0,6.8,224,39,102,1,0,0,0,0,7.0,217,48
118,0,12,2,0,2,6,0,0,0,6.8,196,60,14,2,1,1,0,0,7.0,266,60
119,0,30,6,1,5,5,1,1,0,6.8,217,67,16,4,0,1,0,0,6.4,233,54
120,0,18,5,0,8,8,1,0,0,7.0,229,43,18,3,1,1,1,0,7.0,198,66
121,0,14,16,0,3,9,0,0,0,6.4,213,40,42,2,1,1,0,0,7.6,255,51
122,1,14,2,0,9,8,1,0,0,7.0,192,43,19,2,1,1,1,0,7.2,209,60
123,1,13,6,1,10,7,0,0,0,7.2,207,44,14,3,0,1,0,0,7.0,231,56
124,0,16,4,0,3,10,0,0,0,6.8,193,40,17,8,1,1,0,0,7.4,245,51
125,1,38,3,1,9,7,1,0,0,7.0,205,40,14,1,0,0,0,0,6.8,215,48
126,1,40,1,0,7,14,1,0,0,6.2,183,37,13,4,1,0,0,0,7.2,219,49
127,1,18,5,0,5,3,1,0,0,7.2,240,61,39,3,1,0,0,0,6.8,230,42
128,0,40,3,0,6,7,0,0,0,6.8,212,52,17,4,1,1,1,0,7.2,211,46
129,1,18,5,0,7,5,0,0,0,6.8,215,52,35,3,1,0,0,0,6.8,197,48
130,1,17,5,0,7,1,0,0,0,7.2,226,36,35,3,1,1,0,0,6.6,217,80
131,1,15,5,1,6,3,1,0,0,7.0,241,36,38,2,0,0,0,0,6.8,229,58
132,1,18,2,1,4,4,0,0,0,7.0,215,48,15,1,0,1,0,0,7.0,227,72
133,1,43,6,1,4,7,1,0,0,6.4,226,33,23,9,0,0,0,0,7.2,205,52
134,0,13,5,0,5,7,0,0,0,6.4,191,48,62,3,1,1,0,0,7.0,216,51
135,1,13,1,0,6,9,1,0,0,7.0,228,55,17,1,1,0,0,0,6.8,143,60
136,1,20,1,1,9,7,1,0,0,6.6,199,37,12,3,0,1,1,0,6.8,225,44
137,1,15,1,1,12,4,1,1,0,7.2,227,37,15,2,0,1,0,0,6.6,191,52
138,1,17,1,0,5,5,0,0,0,7.2,223,64,38,2,1,1,0,0,6.8,226,49
139,0,28,4,0,3,4,1,0,0,6.4,211,55,16,2,1,1,1,0,6.4,208,44
140,0,12,3,1,4,9,0,0,0,6.4,192,32,18,3,0,0,0,0,6.4,194,46
141,0,87,1,0,4,15,0,0,0,6.2,183,30,10,1,1,0,0,0,7.4,201,51
142,1,15,3,1,7,6,0,0,0,7.2,251,64,17,1,0,2,1,0,7.2,190,56
143,0,15,4,1,5,7,0,0,0,6.4,172,40,13,5,0,0,0,0,6.8,219,51
144,1,23,3,0,10,5,0,0,0,6.4,192,40,37,2,1,2,1,0,6.6,199,40
145,1,18,1,1,12,4,0,0,0,7.2,206,60,14,2,0,0,0,0,6.8,216,56
146,1,16,3,0,4,11,1,1,1,6.6,232,40,37,1,1,1,0,0,7.2,216,36
147,0,16,2,0,3,8,2,1,0,6.6,191,60,17,4,1,0,0,0,7.2,241,52
148,1,17,3,1,13,9,0,0,0,7.0,207,31,17,4,0,0,0,0,7.0,200,44
149,0,15,5,1,4,3,0,0,0,6.6,232,53,16,2,0,0,0,0,6.8,209,51
150,0,15,2,1,3,1,1,0,0,6.6,224,56,40,4,0,1,1,0,6.8,220,56
151,0,21,2,0,8,8,0,0,0,6.8,203,48,17,4,1,0,0,0,7.0,168,48
152,0,70,2,0,8,6,2,1,0,7.0,178,56,13,1,1,0,0,0,6.6,232,39
153,0,18,1,0,6,7,1,1,0,6.8,230,47,38,5,1,1,0,0,7.0,222,53
154,0,10,1,0,6,14,0,0,0,6.8,198,59,13,1,1,2,1,0,7.0,201,37
155,0,15,4,1,7,11,0,0,0,7.2,230,56,16,4,0,1,0,0,7.2,178,51
156,1,15,9,0,13,5,2,1,0,7.8,222,71,39,1,1,0,0,0,6.6,208,40
157,1,91,3,0,10,5,0,0,1,7.2,213,50,17,1,1,0,0,0,6.6,210,47
158,0,18,2,1,3,10,0,0,0,6.4,200,48,16,0,0,2,1,0,7.6,246,63
159,1,16,4,0,6,6,0,0,0,7.0,205,56,19,3,1,1,0,0,7.0,224,48
160,1,18,11,1,7,6,0,0,1,6.6,207,46,41,1,0,0,0,0,6.4,178,22
161,1,16,2,1,9,5,1,0,0,7.0,225,60,12,1,0,1,1,0,6.6,229,32
162,1,13,1,1,8,3,2,1,0,7.2,235,59,13,3,0,0,0,0,7.0,234,54
163,1,13,2,0,5,6,1,0,0,7.0,198,44,25,2,1,0,0,0,7.0,199,40
164,0,54,3,0,4,2,1,0,0,7.0,229,53,15,3,1,1,1,0,7.0,218,54
165,1,17,2,1,6,6,0,0,0,6.4,221,44,14,4,0,1,0,0,6.4,203,52
166,0,35,1,0,5,9,0,0,0,6.6,196,40,16,4,1,1,0,0,6.8,237,32
167,0,10,1,1,7,7,0,0,0,6.8,215,42,33,0,0,1,0,0,7.0,217,40
168,0,19,5,1,6,7,0,0,0,6.6,225,46,15,3,0,1,0,0,7.2,212,50
169,1,22,6,1,7,3,1,0,0,7.4,253,64,60,6,0,1,1,0,6.8,179,45
170,0,19,2,1,4,6,0,0,0,6.4,188,53,19,3,0,2,1,0,6.8,196,56
171,1,14,5,0,5,4,1,1,0,6.8,188,63,20,3,1,0,0,0,6.6,190,48
172,0,15,2,1,5,5,0,0,0,7.0,213,47,21,3,0,2,1,0,7.0,249,47
173,1,38,2,1,5,5,1,0,0,6.8,229,39,37,4,0,1,1,0,7.2,216,55
174,0,16,3,0,6,11,1,0,0,6.8,200,43,14,4,1,0,0,0,7.4,214,60
175,1,17,4,0,6,6,0,0,0,7.2,240,56,56,2,1,1,0,0,6.8,199,68
176,1,18,2,1,9,5,0,0,0,7.2,230,51,45,3,0,0,0,0,7.0,206,52
177,0,19,6,0,2,8,0,0,0,6.2,222,33,18,7,1,1,1,1,7.0,242,40
178,1,14,3,1,5,4,1,0,0,7.4,238,64,16,1,0,0,0,0,7.0,210,64
179,1,17,0,0,4,8,1,1,0,7.0,222,68,15,2,1,1,0,0,7.0,230,47
180,0,12,4,0,5,6,1,1,0,7.0,211,71,15,2,1,1,0,0,7.6,222,69
181,0,86,4,1,3,5,0,0,0,6.6,186,62,36,6,0,1,0,0,7.2,218,54
182,1,16,1,1,8,2,1,0,0,7.2,229,40,14,3,0,0,0,0,6.2,208,44
183,1,15,6,0,10,2,0,0,0,7.2,218,70,83,3,1,1,0,0,6.6,219,56
184,0,22,7,1,6,7,0,0,0,6.8,180,45,46,6,0,0,0,0,7.2,243,46
185,0,16,4,0,1,5,0,0,0,6.2,187,48,20,4,1,1,0,0,7.0,236,67
186,0,17,7,0,6,6,0,0,0,7.2,269,40,19,5,1,1,0,0,7.0,245,56
187,1,16,3,0,9,7,2,1,0,6.8,178,60,14,1,1,0,0,0,6.8,215,56
188,0,15,3,1,4,3,1,1,0,7.2,263,53,15,2,0,1,0,0,6.8,208,35
189,0,14,1,1,4,12,0,0,0,6.4,198,46,13,1,0,1,0,1,7.4,177,53
190,0,25,1,1,6,6,1,0,0,6.8,240,43,17,2,0,0,0,0,7.0,233,51
191,0,11,1,0,1,5,0,0,0,6.6,223,34,14,2,1,2,1,0,7.4,259,70
192,1,25,5,1,14,3,0,0,0,7.4,212,54,13,4,0,0,0,0,6.4,196,45
193,0,15,0,0,0,5,0,0,0,6.4,233,60,56,2,1,1,0,0,7.0,229,60
194,0,17,4,0,6,11,1,0,0,6.6,191,39,19,6,1,0,0,0,7.2,206,28
195,1,17,4,1,6,6,1,1,0,6.6,210,54,14,2,0,1,0,0,7.0,194,51
196,0,14,4,0,4,7,0,0,0,7.0,268,52,13,4,1,1,0,0,7.4,244,84
197,1,18,1,1,10,5,1,0,0,7.2,242,48,13,0,0,0,0,0,6.8,214,60
198,0,17,5,0,6,8,0,0,0,6.6,222,36,40,6,1,1,0,0,6.8,216,46
199,1,42,4,1,8,5,1,0,0,7.4,229,59,14,1,0,0,0,0,7.2,222,60
200,0,17,7,0,11,8,0,0,0,6.6,174,38,17,5,1,2,1,0,6.8,212,44
201,1,15,2,0,4,4,1,1,0,7.2,252,57,29,2,1,0,0,0,7.0,214,56
202,0,12,3,0,1,5,1,0,0,7.0,231,65,17,3,1,0,0,0,7.0,235,61
203,0,14,2,0,8,7,0,0,0,7.2,234,49,15,2,1,0,0,0,6.8,182,52
204,0,13,2,0,5,14,1,0,0,6.6,167,48,15,1,1,0,0,0,7.8,238,44
205,0,13,3,0,4,6,0,0,0,6.6,221,43,15,4,1,1,0,0,7.0,262,64
206,0,68,0,0,1,14,1,0,0,5.8,174,53,15,4,1,0,0,1,7.0,234,29
207,1,20,1,0,4,9,0,0,0,6.8,212,56,12,6,1,0,0,0,7.2,224,54
208,1,16,3,0,5,5,1,0,0,6.6,201,52,18,1,1,0,0,0,6.8,213,64
209,0,12,2,1,4,2,1,1,0,7.2,245,61,15,0,0,0,0,0,6.8,212,58
210,0,13,5,1,5,5,1,1,0,6.8,220,40,15,2,0,1,0,0,6.8,185,54
211,1,16,3,0,12,9,0,0,0,6.6,186,48,17,4,1,1,0,0,6.8,204,48
212,1,35,3,1,6,2,1,0,0,6.6,221,44,15,1,0,0,0,0,6.6,201,40
213,0,14,2,0,3,8,0,0,0,6.8,227,61,84,4,1,1,0,0,7.2,214,44
214,1,35,2,0,5,5,0,0,0,7.0,244,60,17,4,1,1,0,0,7.0,217,52
215,1,18,3,1,14,5,1,0,0,6.8,230,48,17,1,0,0,0,0,5.8,178,28
216,0,22,4,0,5,7,1,1,0,7.0,198,59,13,5,1,1,0,0,7.0,212,52
217,0,124,3,1,5,4,1,1,0,7.0,225,51,17,4,0,0,0,0,6.8,227,47
218,1,18,1,1,3,7,0,0,0,6.6,231,50,17,8,0,1,1,0,7.4,260,51
219,1,22,5,0,1,2,0,0,0,6.8,228,55,16,1,1,1,0,0,6.6,223,48
220,1,13,3,1,11,4,2,1,1,7.4,233,44,15,0,0,0,0,0,7.0,231,44
221,0,34,3,0,2,7,0,0,0,6.8,220,37,13,2,1,0,0,0,7.2,230,58
222,1,24,1,1,8,4,0,0,0,6.8,242,48,17,1,0,0,0,0,6.6,195,46
223,0,50,12,1,6,3,1,0,0,6.6,213,48,37,3,0,0,0,0,6.8,254,60
224,0,16,3,0,10,5,1,0,0,7.2,213,52,36,1,1,0,0,0,6.8,225,47
225,0,13,2,0,2,5,1,1,0,7.0,252,51,13,4,1,0,0,0,7.0,231,44
226,0,33,1,0,2,5,0,0,0,7.0,230,56,17,1,1,1,0,0,7.0,248,43
227,1,13,3,0,12,4,0,0,0,7.2,255,50,17,1,1,1,0,0,6.8,215,50
228,1,17,3,0,8,6,1,0,0,7.4,240,43,13,5,1,0,0,0,7.0,206,52
229,1,78,4,1,9,3,0,0,0,7.0,230,52,18,0,0,1,1,0,6.6,183,49
230,0,16,2,0,5,6,1,0,0,7.0,221,58,16,4,1,0,0,0,7.4,247,64
231,0,22,2,1,9,6,0,0,0,6.8,212,40,11,2,0,0,0,0,7.0,180,56
232,0,15,5,0,5,5,1,1,0,6.8,241,48,15,2,1,1,0,0,6.4,207,36
233,0,19,2,1,9,3,0,0,0,6.8,202,41,17,2,0,0,0,0,6.8,204,58
234,0,40,4,0,1,7,0,0,0,6.8,200,48,17,5,1,1,0,0,7.2,253,52
235,0,13,1,0,1,3,0,0,0,7.0,227,47,17,1,1,1,0,0,7.2,250,76
236,1,15,2,0,8,7,1,0,0,6.6,204,49,14,5,1,0,0,0,6.8,209,55
237,1,31,2,1,6,4,0,0,0,7.2,235,59,20,1,0,0,0,0,6.6,215,40
238,0,44,2,0,5,7,1,0,0,7.2,217,64,17,4,1,0,0,0,7.2,241,52
239,0,27,2,0,10,12,1,0,0,6.4,184,36,14,5,1,0,0,0,6.8,208,68
240,0,16,0,0,5,9,0,0,0,6.4,173,47,12,3,1,1,0,0,7.0,241,43
241,1,54,4,0,6,1,2,1,0,7.0,224,51,37,3,1,0,0,0,6.4,207,56
242,1,13,3,0,9,5,2,1,0,7.4,223,70,16,2,1,0,0,0,7.2,226,55
243,0,17,3,0,1,6,0,0,0,6.6,218,44,24,4,1,1,0,0,7.2,263,48
244,1,14,2,0,5,6,1,0,0,7.4,233,76,16,2,1,0,0,0,7.0,230,60
245,1,12,2,1,7,6,1,0,0,7.0,246,44,16,0,0,0,0,0,6.4,196,40
246,0,14,1,1,7,7,0,0,0,7.0,209,44,33,1,0,0,0,0,7.2,182,67
247,1,24,3,1,14,4,0,0,0,7.6,249,67,13,5,0,1,0,0,6.2,186,44
248,1,14,1,1,6,4,1,0,0,7.0,228,47,12,2,0,0,0,0,6.6,220,48
249,0,36,2,1,4,11,1,0,0,6.8,197,56,16,1,0,0,0,0,7.4,182,59
250,1,40,7,0,8,9,1,1,0,7.0,214,45,25,4,1,0,0,0,6.6,208,33
251,0,19,2,1,5,7,0,0,0,6.8,209,51,19,5,0,1,0,0,7.2,215,71
252,1,17,3,0,5,7,1,0,0,6.8,234,56,39,2,1,1,1,0,7.0,227,52
253,1,27,5,1,10,6,1,1,0,6.8,222,52,18,1,0,1,0,0,6.4,213,60
254,1,17,4,1,6,2,0,0,0,7.2,230,43,17,4,0,1,0,0,6.8,217,51
255,1,18,5,0,14,4,1,0,0,7.4,220,56,66,2,1,0,0,0,6.6,205,60
256,1,13,0,1,9,4,0,0,0,7.0,220,54,15,3,0,0,0,0,6.2,181,52
257,1,15,2,0,3,8,0,0,0,6.6,194,42,16,2,1,1,0,0,7.0,207,51
258,1,22,2,1,6,0,1,0,0,7.4,265,59,15,7,0,0,0,0,6.8,242,48
259,0,19,2,0,4,7,0,0,0,6.8,210,55,15,4,1,2,1,0,7.0,214,49
260,0,12,0,0,3,5,1,1,0,7.0,270,52,14,1,1,1,0,0,7.0,235,56
261,1,16,1,0,7,3,1,0,0,7.0,238,43,11,0,1,0,0,0,7.0,216,59
262,1,57,3,0,11,9,0,0,0,7.0,225,56,15,2,1,1,0,0,7.2,205,44
263,0,10,0,1,2,11,0,0,0,6.8,196,68,12,1,0,1,0,0,7.4,259,48
264,1,18,4,0,11,6,2,1,0,7.6,236,57,36,5,1,0,0,0,6.4,208,32
265,1,18,5,0,11,7,0,0,0,7.0,217,37,20,2,1,1,0,0,6.4,174,37
266,0,22,3,0,4,12,1,0,0,6.8,190,51,16,2,1,0,0,0,7.2,224,40
267,0,18,1,1,4,1,1,1,1,6.8,227,46,15,2,0,1,0,0,6.8,248,53
268,0,15,2,0,3,9,0,0,0,6.6,217,41,39,2,1,2,1,0,7.4,224,55
269,0,16,3,0,4,9,1,1,0,6.4,173,49,30,3,1,1,0,0,7.0,213,55
270,1,11,3,0,5,6,1,0,0,7.2,223,63,9,2,1,0,0,0,7.4,218,46
271,0,18,3,0,3,5,0,0,0,6.6,241,38,17,2,1,1,0,0,7.0,226,62
272,1,18,3,1,6,10,0,0,0,6.8,201,48,14,4,0,1,0,0,7.2,198,44
273,0,39,1,1,9,8,0,0,0,7.0,194,32,18,6,0,0,0,0,6.8,215,44
274,1,39,3,1,6,2,1,0,0,7.2,238,44,17,18,0,0,0,0,6.6,233,60
275,1,17,4,1,5,3,0,0,0,7.0,229,63,18,2,0,0,0,0,6.4,197,32
276,0,18,4,1,3,8,0,0,0,6.8,222,40,18,4,0,0,0,0,7.2,238,54
277,1,21,2,0,3,5,2,1,0,7.2,268,55,16,6,1,0,0,0,6.8,246,46
278,0,14,4,0,5,10,0,0,0,6.4,196,36,22,2,1,1,1,0,7.0,225,49
279,0,40,4,0,6,9,0,0,0,6.8,222,28,13,5,1,1,0,0,7.0,204,59
280,1,37,6,1,10,4,0,0,0,7.2,218,48,15,2,0,0,0,0,6.8,193,47
281,0,13,2,1,5,2,1,0,0,7.0,224,52,16,3,0,1,1,0,7.0,250,48
282,1,16,1,1,11,5,1,0,0,7.2,223,40,16,4,0,0,0,0,7.2,230,47
